abatement,cod_plausible,construction,cost_usd,deep_scan,focus,ia,inr,news,pins,project,status,turns,violations
False,,False,0.23031854999999998,False,RUN THIS TRIAGE AGAIN — all steps failed due to path error; zero signal collected | T1: run queue_history.py from correct working dir (.claude/worktrees/GIS-research),False,27INR0071,False,0,Sandow Lakes Energy Station,ok,8,
False,,False,0.21354435000000002,False,Re-run full triage from scratch in a fresh session — all steps T1-T6 incomplete | T1: queue_history.py 25INR0587 to get milestone history and COD drift,False,25INR0587,False,0,Zeus Armstrong BESS,ok,7,
False,False,False,0.9718182,True,"PUCT TEF docket 56455 — retrieve loan application NOI and any due-diligence status/decision from PUCT (Interchange portal was 402-blocked during triage) | TCEQ air permit NSR status — application filed Dec 2024 for two simple-cycle CTGs; check permit number, current review stage, any public comment period",False,28INR0090,True,0,EmberGreen ,ok,42,
False,False,False,0.5985964499999998,False,TCEQ NSR air permit search for 'Kilby' in Reeves County — mandatory signal; no permit = strong paper-project evidence | PUCT Interchange accessible session: search FilingParty='Kilby1 Part 4' and Description='Kilby' — portal blocked (402) during triage,False,28INR0459,False,0,Kilby1 Part 4 Large Block Simple Cycle,ok,26,
False,False,False,1.15686945,True,"TEF denial (docket 56896): pull the due-diligence failure order and EYEC response — understand what failed (financial wherewithal, corporate disclosure, technical?) and whether EmberClear has reapplied or found alternative financing | TCEQ air permit: cover letter found (records dID=8484637) but not fetched — pull the NSR application to verify permit stage and confirm TCEQ has actually received/processed it",True,28INR0089,True,0,EmberYork ,ok,48,
True,True,False,0.9794735999999998,True,"PUCT Interchange: retrieve IA PDFs for IP Meitner Wind (portal was 402-blocked in triage) — schedule exhibit, milestone dates, POI details | Precise site location: Gray County public meeting PPT (Dec 2023) contains site map — parse PDF for turbine layout and coordinates",True,26INR0113,True,0,Meitner Wind,ok,36,
False,False,False,0.7705711500000001,False,"PUCT Interchange was fully blocked (402) — try authenticated session to confirm whether an IA filing exists for Dovetail Solar 1 or its siblings (Solar 2/3 may share infrastructure) | Jack County abatement confirmed for Dovetail Solar 3 (not 1) — check if abatement agreements reference all three siblings, which would imply shared site or land control for Solar 1",False,24INR0094,False,0,Dovetail Solar 1,ok,36,
False,False,False,0.9733571999999998,False,Developer 'Project Fast Flow LLC' has zero web presence — verify TX SOS registration and principals before any deeper work | FIS approval: watch queue for fisApproved milestone; no IA means no committed path yet,False,29INR0173,False,0,Howard Road BESS,ok,46,
False,True,False,0.7990176,True,Locate Amos Creek 345kV substation coordinates to establish a site candidate — enables imagery and any permitting radius search | Retrieve IA document from PUCT Interchange (currently 402-blocked) — milestone schedule exhibit will clarify NTP and construction-start obligations,True,26INR0255,False,0,Operation Sunshine,ok,39,
False,True,False,0.9516024000000002,True,PUCT TEF loan docket — IA signed 2025-12-22 per queue but PUCT Interchange blocked (402); retrieve the IA PDF and milestone-schedule exhibit directly from PUCT docket search | TCEQ air permit (NSR) — mandatory for 570 MW gas; 10 simple-cycle units per Hoodline; permit number not retrieved during triage — search TCEQ STEERS by facility name 'Rayburn Energy Station',True,28INR0108,True,1,RAYBURN ENERGY STATION II Gas (TEF-Due Diligence),ok,40,
False,True,False,0.4360651499999999,False,PUCT Interchange search for IA filing under 'Kilby1 Part 2' or developer name (IA not yet signed per queue — check if filed) | Texas SOS entity search for 'Kilby1 Part 2 Tier1 BESS LLC' to surface developer,False,28INR0457,False,0,Kilby1 Part 2 Tier1 BESS,ok,20,
True,False,False,1.0977463500000002,False,"Locate Willow Creek 345kV substation coordinates to get a real site candidate, then re-run imagery on a tight 1km buffer | PUCT Interchange was 402-blocked — retry with authenticated session to check for any IA or amendment filings under Hecate Energy Dovetail Storage LLC",False,24INR0098,False,0,Dovetail Storage,ok,50,
False,False,False,0.40430850000000007,False,OCI La Salle ESS LLC / OCI San Antonio Crescent C BESS LLC — check if parent OCI has active US BESS portfolio or if these are shelf SPVs | PUCT Interchange search for FIS study results or IA application — queue shows FIS requested but never approved,False,26INR0089,False,0,Crescent C BESS,ok,21,
False,False,False,0.8870705999999994,False,Webb County tax abatement agreement — secondary source cited one exists; pull commissioners court minutes or county appraisal district records to confirm/date it | PUCT Interchange — portal blocked during triage; check filings under 'Hecate Energy' or 'ETT' for any IA or FIS study correspondence,False,23INR0209,False,0,Outpost Storage,ok,40,
False,False,False,0.8181932999999999,False,"Locate developer/sponsor behind Armstrong Solar LLC — TX SOS filing, parent company; 'Zeus' brand suggests portfolio developer worth identifying | PUCT Interchange direct search (session-authenticated browser) for IA or FIS-approval filings — portal blocked via WebFetch",False,25INR0586,False,0,Zeus Armstrong Solar,ok,38,
