teid,chain_id,n_tickets_in_chain,chain_start,chain_end,branch_ids,equipment_names,group_labels,sample_notes
1661,1,1,2025-01-28 08:00:00,2025-01-28 11:35:00,60003932.0,CKT_9741,25-00088,"REV: Tue Jan 28 08:00:33 CST 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: Substation will need to de-energize CKT 974 on the 28th to attach the mobile, and then re-energize the line, heating up the mobile for the first time. It will soak for 2 days and then be removed from service on the 30th, with another outage. No load will be added to the mobile transformer at this time."
1661,2,1,2025-03-04 08:00:00,2025-03-04 12:35:00,60003932.0,CKT_9741,25-00209,"SUP: Outage completed & mobile was connected.
REV: Tue Mar 04 08:00:40 CST 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: Energize mobile transformer & transfer DE-123 load to mobile sub for the first time for testing."
2513,1,1,2025-02-13 07:00:00,2025-02-13 14:06:00,60003773.0,CG_SP_06A,JFSPA 06,"REQ: Connect LN06 to mobile switch 1945M @ CG -Will roll load
REV: Thu Feb 13 07:00:54 CST 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization"
2513,2,1,2025-07-03 07:00:00,2025-07-03 13:02:00,60003773.0,CG_SP_06A,JFSPA 06,"REV: Thu Jul 03 07:00:08 CDT 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: Disconnect LN06 from mobile switch 1945M @ CG -Will roll load"
3678,1,1,2025-02-13 07:00:00,2025-02-13 14:06:00,60003772.0,CG_PA_06A,JFSPA 06,"REQ: Connect LN06 to mobile switch 1945M @ CG -Will roll load
REV: Thu Feb 13 07:00:54 CST 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization"
3678,2,1,2025-07-03 07:00:00,2025-07-03 13:02:00,60003772.0,CG_PA_06A,JFSPA 06,"REV: Thu Jul 03 07:00:08 CDT 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: Disconnect LN06 from mobile switch 1945M @ CG -Will roll load"
4225,1,1,2025-02-13 07:00:00,2025-02-13 14:06:00,60003771.0,CG_JFS06A,JFSPA 06,"REQ: Connect LN06 to mobile switch 1945M @ CG -Will roll load
REV: Thu Feb 13 07:00:54 CST 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization"
4225,2,1,2025-07-03 07:00:00,2025-07-03 13:02:00,60003771.0,CG_JFS06A,JFSPA 06,"REV: Thu Jul 03 07:00:08 CDT 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: Disconnect LN06 from mobile switch 1945M @ CG -Will roll load"
16629,1,2,2015-10-16 17:01:00,2015-12-01 16:24:00,,REAC_R3,"AGULFO2, FOAGUL",
16629,2,1,2017-02-01 00:00:00,2017-05-19 17:00:00,60008681.0,ESMERA_FRIEND11,NewEquip,
