abatement,cod_plausible,construction,cost_usd,deep_scan,focus,ia,inr,news,pins,project,status,turns,violations
False,True,False,0.43337834999999997,True,TCEQ air permit (NSR) — mandatory for fuel change on 655 MW steam unit; absence = paper project signal | PUCT Interchange filings for POI '8162 Coleto Creek 138kV' — IA status unknown,False,26INR0664,False,0,Coleto Creek - Fuel Change Only,ok,14,
False,False,False,0.7102474499999999,True,T4 PUCT Interchange not attempted — search for IA filing and milestone-schedule exhibit to confirm whether project is truly construction-ready | T5 abatements not attempted — check TX Comptroller Ch.313 / JETI for Wharton County,False,20INR0069,False,0,Danish Fields Solar,ok,31,
False,True,False,0.9382186500000002,True,"Locate Smithers substation (Bus# 44650) coords to pin BESS site — POI is on 345kV Smithers-Bellaire line, likely adjacent to Smithers substation in Fort Bend County | Retrieve IA PDF from PUCT Interchange (PUCT portal was 402-blocked during triage) — schedule exhibit will confirm milestones and COD",True,26INR0375,False,0,Avalon BESS,ok,41,
False,False,False,1.2460753499999997,False,"Identify parent developer behind both Betel Storage I (26INR0630) and II (26INR0633) — same queue date, same county, same POI bus 3377 Little Pond Switch 345kV; check TX SOS for LLC registrant | PUCT Interchange was 402-blocked during triage — check for IA filings under 'Betel Storage' or developer name once portal accessible",False,26INR0633,False,0,Betel Storage II,ok,57,
False,False,False,1.3272159000000003,False,Identify LTPSW (Little Pond Switch) coordinates via ERCOT transmission maps or PUCT CIM filings to enable imagery | Check Texas SOS for 'Betel Storage I LLC' registration to surface developer identity,False,26INR0630,False,0,Betel Storage I,ok,54,
False,False,False,0.5484663,True,IA signed 2025-08-13 — retrieve PUCT filing for milestone schedule exhibit and parties page | Developer 'Juno BESS I' surfaced via tracker — identify parent company and any portfolio announcements,True,26INR0636,False,0,Lyra Storage,ok,24,
False,False,False,0.43162230000000007,False,T2–T6 skipped due to budget overrun in T1 setup; full triage not completed | Run gmaps.py places to establish site candidate,False,26INR0635,False,0,Aquila Solar,ok,21,
True,False,True,1.3352317500000002,False,"Confirm ERCOT queue shows approvedForCommercialOperation or inActiveDate — queue as of 2026-06-01 still lacks this flag, which is the tracking anomaly worth verifying | Retrieve Ch.313 app PDF (assets.comptroller.texas.gov/ch313/1711/1711-chisum-mockingbird-app.pdf) to confirm exact MW and parcel boundary if needed for site polygon",True,23INR0026,True,0,Baker Branch Solar ,ok,54,
False,False,False,0.5403358500000001,True,"IA signed 2020-04-16 — retrieve PUCT Interchange filing to get POI coords and milestone schedule | Approved-for-sync 2022-01-06 but no COD after 4.5 years — investigate why (equipment, permitting, offtake?)",True,21INR0406,False,0,Buffalo Creek,ok,25,
False,False,False,0.9835261500000003,True,"IA signed 2018-12-05 confirmed in queue data — retrieve PUCT IA filing (docket search via authenticated session) for parties, POI coords, and milestone schedule | FAA OE/AAA obstruction filings: wind project with exact INR since 2018 — search DroneZone/FAA obstruction database for turbine coords in Fisher County (decisive for site location)",True,19INR0080,False,0,Whitehorse Wind,ok,44,
False,False,False,1.1488908000000002,True,Locate Reata 345kV substation coordinates (ERCOT bus 68051) to establish a site candidate — try ERCOT transmission planning docs or AEP Texas GIS | Pull PUCT Interchange IA filing (signed 2023-08-29) — extract milestone schedule exhibit to see contractual COD and any CEII status,True,22INR0262,False,0,Sequoia II Solar,ok,44,
False,True,False,0.7309979999999999,True,"IA confirmed (PUCT docket 35077) but milestone schedule exhibit unread — fetch docket directly in browser or use Playwright | Site pin needed: gmaps blocked at triage; Refugio County centroid only — run gmaps with fresh API quota, or geocode via AP Solar 4 LLC / PUCT docket address",True,23INR0047,True,0,Charger Solar,ok,38,
False,False,False,1.0367015999999998,True,PUCT Interchange IA filing: retrieve schedule exhibit and milestone dates (portal blocked at triage — use authenticated session) | Site location: IA filing typically includes POI map / legal description — use to get coordinates for imagery,True,23INR0070,False,0,Chillingham Solar,ok,47,
False,False,False,1.0178075999999998,True,IA filing: iaSigned=2019-11-13 in queue data — PUCT docket search needed when interchange.puc.texas.gov is accessible (was returning 402 during triage) | Site pin: no Maps result obtained (gmaps 429); re-run to confirm Liverpool-area lat/lon before imagery,False,19INR0134,False,0,Cottonwood Bayou Solar,ok,39,
False,False,False,0.5997164999999999,True,"Resolve identity: is 20INR0083 the original Mesquite Sky build (now online) or a distinct expansion phase? Check ERCOT Project Details and PUCT for any Mesquite Sky / BMP Wind dockets. | IA signed 2019-05-31 (confirmed via queue) — obtain the IA from PUCT to confirm POI, MW, and any expansion schedule.",True,20INR0083,True,0,Baird North Wind,ok,26,
False,False,False,1.0897773,True,"IA PDF retrieval — queue confirms iaSigned=2023-10-26 but PUCT portal was blocked (402); IA exists, get it to confirm POI, parties, and milestone schedule | Kilby Switching Station location — ERCOT ID 60089 not resolvable via public search; check ERCOT nodal maps or transmission planning docs to pin coordinates, then run imagery",False,26INR0310,False,0,Quantum Storage,ok,44,
False,False,False,,True,"IA signed 2020-12-22 — retrieve from PUCT Interchange (portal was 402-blocked during triage) to get site map, POI coordinates, and milestone schedule | TTRSW substation coordinates needed — resolve via ERCOT nodal model or transmission planning docs to enable imagery",True,22INR0203,False,0,Delilah Solar 2,ok,,
False,False,False,0.7153788000000001,True,Locate 38820 FREEWAY PARK 138KV substation precisely — try ERCOT transmission planning docs or OpenInfraMap; the substation pin unlocks imagery | PUCT Interchange IA for 24INR0281 (IA signed 2023-06-07) — manual portal session needed; extract milestone schedule exhibit for contracted COD vs reported 2026-08-31,False,24INR0281,False,0,Red Egret BESS,ok,29,
False,False,False,1.01891385,True,"Confirm phase-2 expansion: queue record still open with 2026-12-31 COD while Phase 1 is operational — clarify if this is an amendment, BESS addition, or paper artifact | PUCT Interchange IA retrieval: auth-blocked during triage; pull IA PDF to confirm parties, POI, and whether a schedule exhibit covers a second phase",True,16INR0085,True,0,Priddy Wind ,ok,49,
False,True,False,0.3741738000000001,True,IA signed 2020-07-29 — download PUCT IA filing and extract milestone schedule exhibit | FIS approved 4 years after IA (2024-12-18) — check PUCT for amendment filings explaining the delay,True,20INR0203,False,0,Pine Forest Solar,ok,14,
False,False,False,0.34572135000000004,True,IA signed 2021-01-27 — fetch PUCT filing to extract POI/milestone schedule and explain why COD keeps slipping post-sync-approval | Approved for sync 2023-02 but no COD after 17+ months — check ERCOT for interconnection amendments or suspension notices,True,20INR0097,False,0,El Sauz Ranch,ok,12,
False,False,False,0.6121756500000002,False,Confirm ERCOT queue row not yet closed (approvedForCommercialOperation still null despite 2025-02-13 COD) — verify against latest GIS snapshot | Retrieve Invenergy press release (invenergy.com/news/invenergy-developed-delilah-i-solar-reaches-commercial-operations-in-texas) for exact COD date and any POI confirmation,True,22INR0202,True,0,Delilah Solar 1,ok,30,
False,True,False,0.45410325,True,Developer is ENGIE North America / SPV likely 'Limestone Wind Project LLC' not 'Board Creek Wind LLC' — verify TX SOS registration | VPPA with Stanley Black & Decker announced — find press release date to bracket commissioning timeline,True,21INR0324,True,0,Board Creek Wind,ok,15,
False,False,False,0.9737020499999998,True,"IA exists (signed 2024-01-24) but PDF not retrieved — access PUCT Interchange docket for milestone schedule exhibit and POI coordinates | Developer identity unconfirmed — likely NextEra Energy Resources ('Hubbard Wind' in Hill County per JETI search); verify via TX SOS entity search for 'Aquilla Lake 3 Wind, LLC'",True,22INR0499,False,0,Aquilla Lake 3 Wind,ok,44,
False,False,False,0.8440885499999999,True,PUCT Interchange IA retrieval (PUCT portal required session — try direct docket search or PUCT API for RWE Clean Energy Development 2024-08-29 filing) to extract milestone schedule and POI map | FAA OE/AAA turbine obstruction filings for Jack County (county FIPS 48237) — government shutdown blocked during triage; when portal resumes this gives exact turbine coordinates,True,22INR0301,True,0,Fortuna Wind,ok,38,
False,False,False,0.9731749499999998,True,"PUCT Interchange IA filing — portal returned 402 in triage (session/auth required); retrieve IA PDF to confirm parties, POI, and milestone schedule | Developer identity — Piedra Solar LLC (1201 Louisiana St, Houston) parent unknown; Piedra Solar II LLC filed 2024-07; LEI chain blocked; check TX SOS, Delaware registry, or FERC e-library for ownership",False,25INR0168,False,0,Piedra Solar,ok,45,
False,False,False,1.0653252000000002,True,"PUCT Interchange IA filing (signed 2020-05-05) — retrieve parties, POI coords, milestone schedule; PUCT required authenticated session during triage | FAA OE/AAA obstruction filings for Foxtrot Wind / Lincoln Clean in Bee County — decisive turbine coordinates (OE system was in shutdown notice during triage)",False,20INR0129,False,0,Foxtrot Wind,ok,46,
False,False,False,0.8029898999999999,False,Confirm exact commercial operation date from ERCOT settlement or ENGIE press release (queue COD 2026-09-01 appears stale — project went online late 2025) | Retrieve PUCT IA PDF (interchange.puc.texas.gov blocked during triage) to confirm milestone schedule and POI details,True,16INR0104,True,0,Big Sampson Wind ,ok,34,
False,False,False,0.9334219500000001,False,Confirm developer activity: check RWE Solar Development LLC for any Charolais Solar advancement announcements | Form D equity raise Dec 2022 ($8.57M) is the only positive signal — verify if additional raises followed,False,21INR0380,True,0,Charolais Solar,ok,41,
True,True,False,1.0033106999999999,True,"PUCT Interchange IA PDF (portal 402 during triage) — retrieve Ray Ranch Solar LLC IA docket for milestone schedule and POI coordinates | Imagery at ~28.53N,-97.58W with valid CDSE creds — approved-for-sync Oct 2024 means panels should be visible; confirm commissioning vs stall",True,21INR0223,True,0,Tulsita Solar,ok,38,
False,False,False,1.1030859,True,"CRITICAL: Reconcile queue open vs. web sources 'operating since 2022' — pull ERCOT settlement data or CEMS to confirm generation; check if this is a partial-phase issue (Samson Solar 3 = one phase of 1,310 MW complex) | IA signed 2020-08-27 — retrieve from PUCT (PUCT portal blocked during triage) for milestone schedule exhibit and any amendments",True,21INR0491,True,0,Samson Solar 3,ok,43,
False,False,False,0.9668673,True,PUCT IA filing — interchange.puc.texas.gov was blocked (HTTP 402); retrieve IA PDF for milestone-schedule exhibit to assess contractual obligations | Resolve approved-for-sync (2021-08-31) without COD — check if 21INR0221 has a SCED unit name or if the sync approval was for a different sub-unit/phase; cross-check ERCOT GenUnit,True,21INR0221,True,0,Samson Solar 1,ok,42,
